id,units_id,areas_id,tinsts_id,qty,created_at,updated_at
111,0,20,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
112,0,20,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
113,0,20,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
114,0,20,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
115,0,21,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
116,0,21,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
117,0,21,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
118,0,21,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
119,0,21,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
120,0,21,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
121,0,15,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
122,0,15,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
123,0,15,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
124,0,15,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
125,0,15,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
126,0,15,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
